text,label
"well, she's got jet-pilot eyes from her hips on down,",0
and i never saved a dollar in the pay of diamond joe.,0
but you're never sure why you're here.,0
"listen to that duquesne whistle blowing,",0
"don't let me drift too far,",0
with the one who tries to hide what he don't know to begin with?,0
expecting all the gifts that wise men bring.,0
for playing the electric violin on desolation row.,0
puts his both hands in the pockets of chance,0
"""they've all moved a way,"" said the voice of a stranger,",0
"hanging 'round the theaters,",0
"and it's a hard, it's a hard, it's a hard, and it's a hard,",0
"oh, where are you tonight?",0
"might like to drink whiskey, might like to drink milk,",0
"all of rubin's cards were marked in advance,",0
"gal, you're on my mind.",0
"has kindly assisted me home.""",0
you got a heart of stone.,0
"it's just a ragged clown behind,",0
"one by one they followed the sun,",0
"if you go down in the flood, it's gonna be your fault.",0
"but it grieves my heart, love, to see you trying to be a part of a world that just don't exist.",1
you don't have to worry any more.,0
in the jingle-jangle morning i'll come following you.,0
"into my own parade,",0
you'll know everything i know down below and up above,0
"you follow, find yourself at war,",0
"the conductor, he's still stuck on the line.",0
they all fall there so perfectly - it all seems so well-timed.,0
"your days are numbered, so are mine.",0
"sometimes the silence can be like thunder,",0
"i'm getting weary looking in my baby's eyes,",0
orders from the d.a.,0
"now, the rain-man gave me two cures, then he said, ""jump right in.""",0
if you'll only let your hair hang low.,0
"i bargained for salvation, they gave me a lethal dose,",0
"ring them bells, st. peter, where the four winds blow,",0
and pretend that he just doesn't see?,0
"from the fool's gold mouthpiece, the hollow horn",0
and the mailbox is locked.,0
"you got something better,",0
"well, i told my baby, i said, ""baby, i know where you been,",0
"you know, it's funny how things never turn out the way you had 'em planned.",0
"but, if you gotta go, go now or else you got to stay all night.",0
at napoleon in rags and the language that he used.,0
"never did feel this way before,",0
"sugar baby, get on down the line, you ain't got no sense no how,",0
"chilly wind sharp as a razor blade,",0
and every window made of glass.,0
"well, i'll sell it to you at a reduced price.",0
"and the cops are putting the screws to him, looking for somebody to blame.",0
"don't have the inclination to look back on any mistake,",0
"well, my sense of humanity has gone down the drain,",0
they took him to the hospital and they brought him upstairs.,0
peggy day stole my poor heart away.,0
"come running down your stairs, pretty peggy-o!",0
"the holy one called jesus christ,",0
the same as my father before him.,0
"if this is love, then give me more and more and more and more.",1
"yes, and i'll go last,",0
"oh, the time will come up when the winds will stop",0
and never sat once at the head of the table,0
"is, baby, be friends with you.",0
"you say, ""what's mine?"" someone else says, ""where what is?""",0
"take a message to mary, but don't tell her what i've done,",0
"she promised this a-lad she'd stay,",0
"ah, you fake just like a woman - yes, you do!",0
"i know you haven't made your mind up yet,",0
and he just walked along alone with his guilt so well-concealed,0
"turn, turn to the rain and the wind.",0
"it's alright,",0
"snap out of it, baby. people are jealous of you.",0
"and when it all came crashing down, i became withdrawn,",0
"way down in some tularosa alley,",0
"i'm gonna spare the defeated, boys, i'm going to speak to the crowd,",0
"he stood so straight and tall in his uniform and all,",0
"thirty pieces of silver, no money down.",0
your flaming feet are burning up the street.,0
after he took from you everything he could steal?,0
"all the people we used to know, they're an illusion to me now.",0
"may you build a ladder to the stars and climb on every rung,",0
"when a war broke out at the break of dawn, it emptied out the streets,",0
"nobody can get any sleep, there's someone on everybody's toes,",0
i'm calling you to-i'm calling you to please come home.,0
"your mama, she's hiding inside the icebox,",0
in the jingle-jangle morning i'll come following you.,0
"maybe he had some problems, maybe some things that he couldn't work out,",0
"i want you,",0
"don't walk on your tip-toes,",0
"scratch your dad, do that bird,",0
"she'll say, ""you got all the time in the world, honey.""",0
"idiot wind blowing every time you move your teeth,",0
"yes, and i'll go last,",0
the national guard stands around his door.,0
"two riders were approaching, the wind began to howl.",0
yippee!,0
"you've got to serve somebody,",0
with twenty pounds of headlines stapled to his chest.,0
"where charity is supposed to cover up a multitude of sins,",0
alright!,0
"it was destiny, it was god's will.""",0
"he sits in your room, his tomb, with a fist full of tacks,",0
"she might think that i've forgotten her - don't tell her, it isn't so.",0
a man who swears he's not to blame.,0
sometimes it gets so hard to see.,0
"while all the women came and went, barefoot servants too.",0
nobody's ever taught you how to live out on the street,0
"all i remember was a moaning sound,",0
late last night you come rolling across my mind.,0
"our conversation was short and sweet,",0
"and you jump from your bed from the last chapter of dreaming,",0
"temptation's page a-flies out the door,",0
"it's just a ragged clown behind,",0
i used to be among the crowd you're in with.,0
what look good in the day at night is another thing.,0
and the poor white remains,0
"you just kinda wasted my precious time,",0
most of the time i can't even be sure,0
"house on fire, debts unpaid,",0
"she was standing there in back of my chair, said to me, ""don't i know your name?""",0
"i ain't gonna work for maggie's pa no more,",0
"ooh-ee, ride me high, tomorrow's the day that my bride's a-gonna come!",0
"well, i might look like robert ford, but i feel just like jesse james.",0
"he got an all-girl orchestra and, when he says",0
"she said, ""would you like to take a shower? i'll show you up to the door.""",0
everybody telling me she's gone to my head.,0
like a rolling stone?,0
"come all without, come all within,",0
"and the ladies treat me kindly and they furnish me with tape,",0
"in one the surface was frozen,",0
"one hand is tied to the tight-rope walker, the other is in his pants.",0
"yes, and how many times must the cannon balls fly",0
to be stuck inside of mobile with the memphis blues again?,0
when something he doesn't know about suddenly appears.,0
"well, that mockingbird's gonna sail away - we're gonna forget it.",0
"where people carried signs around saying ""ban the bums"".",0
"does it take much of a man to see his whole life go down,",0
by this time i'd'a thought that i would be sleeping,0
"shine your light, shine your light on me,",1
just thinking of a series of dreams.,0
"in a young summer's youth, i stole her away",0
"wants eleven dollar bills,",0
"""i'm sorry, sir,"" he said to me. ""i'm sorry for what she's done.""",0
you cast your spell and i went under.,0
it's a hard rain's gonna fall.,0
"i've walked two hundred miles, now look me over,",0
"'tis the song, the sigh of the weary,",0
"she sees a bartender in a pool of blood,",-1
"by the way, what happened to that poison wine?""",0
but the town has no need to be nervous.,0
and watch the parking meters.,0
"all i know is that i'm thrilled by your kiss,",0
"for the days of old when we dug up the gold, in the days of '49.",0
but you know you only used to get juiced in it.,0
"from the fireplace where now my letters to you are burning,",0
who killed davey moore?,-1
"the cabaret was empty now, a sign said ""closed for repair"",",0
"he said, ""that's alright, babe, i love you too,",1
"go melt back in the night,",0
with his serpent eyes of obsidian.,0
"left me blindly here to stand but still not sleeping,",0
now you don't seem so proud,0
maybe she'll pick him out again - how long must he wait,0
from the golden gate bridge,0
"deny, defy, or crucify you.",0
"it ain't no use in turning on your light, babe,",1
"you're a bad man, bad man, stack-a-lee.""",0
"'steada stopping when we could, we went right on",0
"she turned around to look at him as he was a-walking away,",0
"oh, the streets of rome are filled with rubble,",0
"west of the jordan, east of the rock of gibraltar,",0
"yes, you are, you're gonna have to serve somebody:",0
blinded by sleep and in need of a bed.,0
"""not me,"" says the gambling man",0
"they may call you ""doctor"" or they may call you ""chief"",",0
why'd you have to treat me so bad? did it have to be that way?,0
"by and by i'm breathing a lover's sigh,",1
"papa's in the big house, his working days are through,",0
"oh, don't you see that crow fly high?",0
god knows there's gonna be no more water but fire next time.,0
seven days,0
you shouldn't let other people get your kicks for you.,0
"now everything's a little upside down - as a matter of fact, the wheels've stopped,",0
"and when it all came crashing down, i was already south,",0
he immediately looked at me and stuck a gun into my guts.,0
"in order to deal in this game, got to make the queen disappear.",0
"is your main friend someone who's an old, known acquaintance of ours?",0
"look around you, it's just bound to make you embarrassed!",0
before he can hear people cry?,-1
"the next day was hanging day, the sky was overcast and black,",0
has anybody seen my love?,1
you say you're looking for someone,0
friends with you.,0
she showed 'em to the people from next door.,0
"oh, the rag-man draws circles up and down the block.",0
"god said, ""out on highway 61.""",0
"so, i'm walking down your highway",0
"saying, ""the sun's not yellow, it's chicken!""",0
"don't stand in the doorway, don't block up the hall",0
got to have done some evil deed.,0
"poor boy 'neath the stars that shine,",0
"and i'm just like that bird,",0
"look out, kid,",0
our father would not like the way that you act,0
"he won't do nothing to you,",0
"if i pass this way again, you can rest assured,",0
"you might say that i'm young, you might say i'm unlearned.",0
"i wish she'd tell me what it is, i'll run and hide.",0
twenty years of schooling and they put you on the day shift.,0
"there's more frost on the window glass with each new, tender kiss,",0
how many seas must a white dove sail,0
"""i'm gonna start my picking right now. just tell me where you'll be.""",0
"but you're gonna have to serve somebody,",0
"i said, 'howdy, friend, i guess it's just us two.'",0
"they are spoon-feeding casanova to get him to feel more assured,",0
six-time losers,0
"and you know that it's something special you're needing,",0
"yes, and how many times must the cannon balls fly",0
for she once was a true love of mine.,1
"like a complete unknown,",0
"i broke into the tomb, but the casket was empty,",0
"but i did it because he lied, because he took you for a ride,",0
"i got my mind made up,",0
"but, baby, please stop crying 'cause it's tearing up my mind.",-1
behind every beautiful thing there's been some kinda pain.,1
on the jugglers and the clowns when they all did tricks for you.,0
"you know there's no drug that'll do for the healing,",0
"i can feel it in the light, in the light, in the light and it's got to be true.",1
"flung down by corpse evangelists,",1
"coming down the road for a country mile or two,",0
"and admit that the waters around you have grown,",0
"honey, just allow me one more chance to ride your passenger train.",0
"if fire them we're forced to, then fire them we must,",0
"threw the bums a dime in your prime, didn't you?",0
"say hello to valerie, say hello to vivian,",0
join the army if you fail.,0
to flesh-colored christs that glow in the dark.,-1
where the trout streams flow and the air is nice,0
then the shaft was soon shut and more work was cut,0
she lit a burner on the stove and offered me a pipe.,0
"father who taketh the darkness away,",-1
and these visions of johanna that conquer my mind.,0
"""there's too much confusion, i can't get no release.",0
try imagining a place where it's always safe and warm:,0
"sara, oh, sara, wherever we travel we're never apart,",0
"i done pawned my pistol, baby, my best clothes been stoled.",0
i threw it all away.,0
when the night comes falling from the sky.,0
knock--knock--knocking on heaven's door.,0
"they knew not my name and i knew not their faces,",0
leave at your own chosen speed.,0
"i paid one thousand two hundred twenty-seven dollars and fifty-five cents,",0
"and the ancient, empty street's too dead for dreaming.",0
and the ship's wise men will remind you once again,0
"hey, mr. tambourine man, play a song for me,",0
"and may you stay forever young,",1
"i'm ready to go anywhere,",0
paths of victory we shall walk.,0
when the night comes falling from the sky.,0
"well, we crossed the panhandle and then we headed towards amarillo.",0
"he knew the deal was a-down and dirty,",0
"you say you're sorry for telling me stories you know i believe are true,",0
that johanna's not here.,0
did you ever hear that coffin sound?,0
i would wave a wand and tie back the bond that we've both gone beyond.,0
"mama, take this badge off of me.",0
"well, my nerves are exploding and my body's tense,",0
twenty years of schooling and they put you on the day shift.,0
"she was fifty-one years old and gave birth to ten children,",0
"who is he, baby, and what's he to you?",0
"she makes love like a woman - yes, she does!",1
too many people have died?,0
and be buried on the bottom of the ocean.,0
find out something only dead men know.,0
"yes, i've been up all night, baby, leaning on the windowsill.",0
"how my lone guitar played sweet for you that old-time melody,",0
we see this empty cage now corrode,0
"or have done something wrong,",-1
wherever you're a-gambling now nobody knows.,0
"silvio, silver and gold",0
"if he needs a third eye, he just grows it,",0
nobody's ever taught you how to live out on the street,0
but she'd never met anyone quite like the jack of hearts.,0
"come, you masters of war, you that build the big guns,",0
don't be angry--don't be angry with me should i cry.,-1
"'cause i'm leaving in the morning if i have to ride the blinds,",0
"""come in,"" she said, ""i'll give you shelter from the storm.""",0
"""lie there, lie there, love henry,"" she cried,",1
"the crime was murder one, guess who testified?",0
"whether he lost or whether he won, to him it was always the same,",0
and they made a killer outta him is what they did.,-1
"lay, lady, lay, lay across my big brass bed.",0
"captain arab, he started writing up some deeds.",0
and we met sergeant napper and corporal vamp,0
"ashes in the furnace, dust on the rise,",0
to love and follow his direction?,1
"the cold-blooded moon, the captain waits above the celebration,",-1
"under that apple suckling tree, oh, yeah!",0
"you may call me r.j., you may call me ray,",0
"he wanted money up front, said he was abused by dignity.",0
"you can touch and twist and turn two kinds of doorknobs,",0
"next to come in was a broken, black flea,",0
"but, when there's too much of nothing, it just makes a fellow mean.",0
"starting look on the sidewalk,",0
"things are breaking up out there, high water everywhere.",0
"although she swore my life away, deprived me of my rest,",0
"and it ain't made in no hollywood wheat germ,",0
now you don't seem so proud,0
"i'm not the one you want, babe,",0
and now you'd throw us all aside and put us on our way.,0
"go melt back into the night, babe,",0
am i ready to lay down my life for the brethren and to take up my cross?,0
"but people don't live or die, people just float,",0
but she changed the subject every time money came up.,0
"lay, lady, lay, lay across my big brass bed.",0
in the jingle-jangle morning i'll come following you.,0
one day you'll open up your eyes and you'll see where we are.,0
"sister jacqueline and carmela and mother mary all did weep,",0
i did not do it knowingly.,0
"i'm going off into the woods, i'm hunting bare.",0
"brownsville girl with your brownsville curls,",0
all along the watchtower princes kept the view,0
just remind me to show you the scars.,0
went into the laundry to wash my clothes down.,0
"hey, mr. tambourine man, play a song for me,",0
"get me outta here, my dear man!",0
in the border-towns of despair.,0
"you may be a socialite with a long string of pearls,",0
"looking into the lost, forgotten years for dignity.",0
"west of the jordan, east of the rock of gibraltar,",0
"i heard the song of a poet who died in the gutter,",0
"some pretty, little girl in cornersville",0
"you look into the fiery furnace, see the rich man without any name.",0
"for something that he never done,",0
please quit your low-down ways.,0
the bottom of the barrel is too.,0
"watch out, lester, take it, blue,",0
"mixing up the medicine,",0
"slap that drummer with a pie that smells,",0
"yesterday's just a memory,",0
"i see the turning of the page, curtain rising on a new age,",0
"and it ain't no use in turning on your light, babe,",1
did you ever hear that coffin sound?,0
"oh, i got a letter on a lonesome day,",0
"go all the way to the other side of the world, you'll find trouble there,",0
there was a little boy and there was a little girl,0
"veronica's not here, mavis just ain't right.",0
"got no place to fade, got no coat,",0
"""my complexion,"" she says, ""is much too white.""",0
"they're all drinking, thinking that they got it made,",0
"and to the black folks he was just a crazy nigger,",0
"it was all very, very painless when you ran out to receive",-1
"it rots in a cell misguided as hell,",0
"i'm a-walking through the summer nights, the jukebox playing low,",0
i ain't gonna work for maggie's brother no more.,0
"""come in,"" she said, ""i'll give you shelter from the storm.""",0
"the birdies were flying from tree to tree,",0
"the best is always yet to come - that's what they explain to me,",0
"and where have you been, my darling young one?",0
before she sleeps in the sand?,0
"when a trembling, distant voice, unclear,",0
"fortune calls, i step forth from the shadows",0
for me to return to or chase.,0
"you want watered-down love,",1
"and, if you don't like me, you can leave me alone.",0
because he can't be bribed or bought by the things that you adore.,0
"stay, lady, stay, stay with your man awhile.",0
"she had done a lot of bad things, even once tried suicide,",-1
"farewell, angelina, the sky's flooding over and i must be gone.",1
i haven't known about peace and quiet now for so long i don't even remember what it's like.,0
"yes, i'm walking down the highway",0
"it's bad out there, high water everywhere.",0
up over my head nothing but clouds of blood.,-1
"you're bound to fall."" you thought they were all kidding you.",0
"she's looking into my eyes, she's a-holding my hand,",0
"and what did you hear, my darling young one?",0
i seen a shooting star tonight and i thought of me.,0
"race or chase you, track or trace you,",0
"and it's all over now, baby blue.",0
in your busted down ford and your platform heels.,0
they tell me revenge is sweet,0
"can't find what i need,",0
"he said, ""tell me about it.""",0
i'll be your baby tonight.,0
please get out of the new one if you can't lend your hand,0
"their minds are filled with big ideas, images, and distorted facts.",0
"i see people who're supposed to know better standing around like furniture,",0
"i had a job in the great north woods working as a cook for a spell,",0
"""nothing,"" they say, ""he just like to cause war.""",0
"oh, you been with the professors, they've all liked your looks,",0
"setting my dial on the radio, i wish my mother was still alive.",0
but who did i see but the one i love?,1
before they're forever banned?,0
"well, if you don't want to see me,",0
someone i really could care for.,0
"but me, i'm still on the road, a-heading for another joint,",0
for halloween buy her a trumpet and for christmas give her a drum.,0
"you see me on the street, you always act surprised,",0
"seeing the metal brace that helped him stand,",0
"""remember that murder that you--happened in a bar?",0
reacted to his deed with a shrug of his shoulders,0
"i never could learn to hold you, love, and call you mine.",1
"she was married when we first met, soon to be divorced,",0
"poisoned in the bushes, blown out on the trail,",0
"now, the senator came down here showing everyone his gun,",0
"is used, it is plain,",0
"""there's many here among us who feel that life is but a joke.",0
"i've known it from the moment that we met,",0
"and, if my thought-dreams could be seen,",0
the empty-handed painter from your streets,-1
i just make it down to rose marie's,0
magic in a magical land.,0
jesus gonna make up-jesus gonna make up-,0
"but i musta been mad, never knew what i had,",0
"now, there's a woman on my block, she just sit there as the night grows still,",0
"she's away and westward-bound, far above the clouds she'll fly,",0
"i see the screws break loose, see the devil pounding on tin,",0
there's a marching band still playing in that vacant lot,0
tangled up in blue.,0
"but i'll know my song well before i start singing,",0
are you willing to risk it all or is your love in vain?,1
don't you understand it's not my problem?,0
even the bloodhounds of london couldn't find you today.,-1
where i can watch her waltz for free 'neath her panamanian moon.,0
you'll not see nothing like the mighty quinn!,0
"she heard the melody rise and fade, the sun was coming up,",0
"the phone's tapped anyway,",0
"once i was wading in fortune and fame,",0
"and no liquor in the land to stop your brain from bleeding,",0
"they'll stone you when you try to be so brave,",0
"but joey stepped up and he raised his hands, said, ""we're not those kind of men,",0
the empty-handed painter from your streets,-1
"well, i ride on a mail-train, baby, can't buy a thrill,",0
"to jezebel, the nun, she violently knits",0
but lately i see her ribbons and her bows have fallen from her curls.,0
"she say, ""you must be joking."" i said, ""i wish i was.""",0
"quite clear. no doubt, somehow.",0
"he must be running for office, got no time to lose.",0
"step it up and go, yeah, man!",0
but i know god is my shield and he won't lead me astray.,0
"you angel, you, you're as fine as anything's fine,",1
"he bought the american dream, but it put him in debt,",0
some beautiful day i'll meet 'em in heaven,1
"well, it may be the devil or it may be the lord,",0
they'll stone you when you're walking to the door.,0
"if you go when the snowflakes storm,",0
leave all the children home -,0
"summer's almost gone, winter's coming on,",0
"and i hope that you die and your death will come soon,",-1
to those condemned to act accordingly,0
"the answer, my friend, is blowing in the wind,",0
"well, the unions are big business, friend,",0
she's insane!,0
i peeked behind the picture frame,0
"resent him to the bone,",0
"take a message to mary, but don't tell her where i am,",0
what's happening in there? what's going on in your show?,0
who killed davey moore?,-1
what made them want to come and blow you away?,0
"hey, mr. tambourine man, play a song for me,",0
"stay, lady, stay, stay with your man awhile.",0
"this wheel's on fire, it's rolling down the road,",0
"where boxing ain't allowed no more,",0
it's a shame the way she makes me scrub the floor.,0
"turn your back, wash your hands,",0
"you're an idiot, babe, it's a wonder that you still know how to breathe.",0
"the ringleaders from the county seat say you don't have all that much time,",0
and many a road taken by many a first friend -,0
"and played the fife lowly,",0
that which is not permanent don't last.,0
"me and magdalena on the run,",0
i was alright till i fell in love with you.,1
"short pants, romance, learn to dance,",0
"there's beauty in that silver, singing river,",0
how does it feel?,0
"he's a bad man, gonna land him right back in jail.",0
"and i know that you're gon' be mine one of these days,",0
"and it's a hard, it's a hard, it's a hard, it's a hard,",0
"i saw a room full of men with their hammers bleeding,",0
tangled up in blue.,0
and they made a killer outta him is what they did.,-1
"and miss patty valentine just nodded her head,",0
"unlike most of the songs nowadays are being written uptown in tin pan alley - that's where most of the folk songs come from nowadays, this-this is a song-this wasn't written up there, this was written somewhere down in the united states.",0
"you say you love me and you're thinking of me, but you know you could be wrong.",1
"street band playing ""nearer my god to thee"".",0
"holding his club like he was a king,",0
i sat down and wrote the best words i could write -,0
"got nothing for you, i had nothing before,",0
yonder down here in this lonely crowd,0
then they'll stone you and then they'll come back again.,0
"and i'll never know the same about you, your holiness, or your kind of love",1
you'll not see nothing like the mighty quinn!,0
"the way, it is long, but the end is near,",0
"you may be a businessman or some high-degree thief,",0
"saying, ""the sun's not yellow, it's chicken!""",0
"i and i, one said to the other, ""no man see my face and live.""",0
wants eleven dollar bills,0
"he died on the road, he died on the road.",0
"your mind is your temple, keep it beautiful and free,",1
i can snap my fingers and require the rain,0
and don't speak too soon for the wheel's still in spin,0
"her window's wide open, african trees",0
"and she turned around to look at him as he was a-walking away,",0
"and your good gal leaves and she's long gone a-flying,",0
"""there must be some way outta here,"" said the joker to the thief,",0
has anybody seen my love?,1
he fills his glasses up to the brim and he'll pass the cards around,0
"there's a lion in the road, there's a demon escaped,",0
"yea heavy, and a bottle of bread!",0
"well, i may just swear,",0
is the saving grace that's over me.,0
they whisper in the wings,0
"and all of your children start to resent you,",0
"handy-dandy, he got a stick in his hand and a pocket full of money,",0
"therefore, i remain at my service and go through all my hardship and toil",0
you ain't worth the blood that runs in your veins.,-1
"love you more than madness, more than dreams upon the sea,",1
"give me the wings and i could fly,",0
"i march in the parade of liberty,",0
six-time users,0
"and the ancient, empty street's too dead for dreaming.",0
"heard the last moan of a boxer, seen the massacre of the innocent,",0
"the answer, my friend, is blowing in the wind,",0
you had no faith to lose and you know it.,0
"egypt and rome, even the great babylon.",0
"go to him now, he calls you, you can't refuse:",0
"heading out for the east coast - lord knows, i've paid some dues getting through,",0
the air is thick and heavy all along the levee,0
if you were just here by my side to show me how.,0
now you don't talk so loud.,0
so they took him to the infirmary,0
"now, i'm waist deep, waist deep in the mist,",0
"don't try no doz,",0
"she wakes him up forty-eight hours later, the sun is breaking",0
"we came to the pyramids all embedded in ice,",0
"we wanna pin this triple murder on him - he ain't no 'gentleman jim'.""",0
"i long to see you in the morning light,",1
play that guitar now!,0
'cause i got my little lady right by my side.,0
with the drumsticks in his pants?,0
"the wind, it was howling and the snow was outrageous,",0
"freedom, just around the corner for you,",0
you have no idea what you do to me.,0
"everybody, get ready, lift up your glasses and sing,",0
"and furnish me with tape,",0
"heard your songs of freedom and man, forever stripped,",0
"nothing a-really matters much, doom alone that counts,",0
"""oh, yes, sir, my name is lee,",0
so they took him to the infirmary,0
"blueberry, apple, cherry, pumpkin, and plum - call me for dinner, honey, i'll be there.",0
"if you don't wanna be a bum,",0
"she's looking into my eyes, she's a-holding my hand,",0
"so much oppression, can't keep track of it no more,",0
"well, the doctor interrupted me just about then,",0
"i've waited years sometimes for what i've wanted,",0
and like a fool i mixed 'em and it strangled up my mind,0
who think they've got the line up for me on love.,1
nobody can throw the ball like catfish can.,0
when you go your way and i go mine.,0
may you always know the truth and see the light surrounding you.,1
"when he died, i was hoping that it wasn't contagious,",0
"here comes the story of the ""hurricane"",",0
and one deserving of affection?,0
or stay all night with thee.,0
"my soul flew to mansions on high.""",0
"i want you,",0
"oh, hard times, come again no more.",0
"when you ain't got nothing, you got nothing to lose.",0
"in a pine box for all eternity,",0
"well, i just been to the baggage car where the engineer's been tossed,",0
"i'm twenty miles outta town, cold irons bound.",0
"how he died nobody could say,",0
"that every other day buy a new pair of sunglasses,",0
how long can i listen to the lies of prejudice?,0
who are you that i should have to lie?,0
where the angels' voices whisper to the souls of previous times.,1
"none of them along the line know what any of it is worth.""",0
"well, there's too much of nothing--can cause a man to weep,",0
"you told yourself a lie, that's alright, mama, i told myself one too.",0
he just had the insight to rip off the lid before its time.,0
"my limbs are shaking,",0
"i'm watching the roads, i'm studying the dust,",0
"whose heaven is like ironside's, whose tears are like rain,",0
"oh, when all of your advisers heave their plastic",0
"he jabbed him once with his bully club,",0
"you know i want your loving. honey, why are you so hard?",0
you'll not see nothing like the mighty quinn!,0
"seems like a long time ago, long before the stars were torn down.",0
there is a place you go,0
"going home to stay, going home to stay,",0
"knock--knock--knocking on heaven's door,",0
"outside of two men on the train tracks, there nobody in sight,",0
he wants it all and he wants it his way.,0
"well, i'd sure like to know",0
"you just kinda wasted my precious time,",0
"four in the morning and they haul rubin in,",0
"and, though i don't ask for much, no material things to touch,",0
ever since we've been apart.,0
all that foreign oil controlling american soil -,0
right up until the break of day let me see you make him smile.,1
"you're bound to fall"" - you thought they were all kidding you.",0
soon the horse will take us to durango.,0
before he can hear people cry?,-1
"you never understood that it ain't no good,",0
"how does it feel,",0
"and who did you meet, my darling young one?",0
"oh, tell my baby sister not to do what i have done,",0
"lord, she took it away to italy, italy.",0
and there's no telling who that it's naming,0
should i put them by your gate,0
"""how far are you all going?"" ruby asked us with a sigh.",0
"i need a shot of love,",1
"and i'm gonna ride into omaha on a horse,",0
you say you're looking for someone,0
"hey, mr. tambourine man, play a song for me,",0
i've heard you say many times that you're better than no one and no one is better than you.,0
"they're spoon-feeding casanova, get him to feel more assured,",0
"all i really wanna do,",0
to find that the judge had never spoken.,0
she acts like we never met.,0
wrapped up with blackjack davey.,0
i've escaped death so many times i know i'm only living,-1
"was there somebody looking when you give me that kiss,",0
and your sun-decked desert and evergreen valleys,0
"and, now, i know you're dissatisfied with your position and your place.",0
"you have slayed me, you have made me.",0
up to boot hill they'd like to send you -,0
"oh, singing just for you,",0
"so i'm going, i'm just going, i'm gone.",0
touched the back of her head and he died. oh!,0
may you stay forever young.,1
"well, i wish that i could write you a melody so plain",0
"you may be a socialite with a long string of pearls,",0
"open the door, richard, i've heard it said before,",0
"your partners in crime hit me up for nickels and dimes,",0
"where nothing comes up to the top,",0
"and your magazine-husband, who one day just had to go,",0
walking to and fro beneath the moon out to where the trucks are rolling slow,0
"i step outside back to the busy street, but nobody's going anywhere.",0
"they don't believe in mercy,",0
"when the storm clouds gather 'round you and heavy rains descend,",0
"i need a shot of love,",1
"all i want for you to do is take my body home,",0
"your sons and your daughters are beyond your command,",0
"they'll stone you when you're trying to keep your seat,",0
"she said, ""even the swap meets around here are getting pretty corrupt.""",0
soon the horse will take us to durango.,0
poor man looking through painted glass for dignity.,-1
"couldn't imagine nothing else,",0
"but the bottles are done,",0
"trouble, trouble, trouble, nothing but trouble.",0
"don't wanna betray nobody, don't wanna be betrayed,",0
"""stop all this weeping, swallow your pride,",0
"and you make love just like a woman,",1
"one more weekend, one more weekend'll do.",0
tomorrow night will you be with me when the moon is bright?,0
join the army if you fail.,0
"then, onward in my journey, i come to understand",0
